A2JSDA:AIS MSCI SRI
A2H577:AIS NASDAQ
702979:Coba DAX
555750:DTE
976986:DWS AS DL
973270:FF Euro Growth
A1W4TN:FF - Gl Tech
973266:FF Malaysia
973277:FF Nordi
A2ANH0:iShares Automation
593397:iShares TecDAX
LS9AJF:LS9AJF
978041:LBBW Div Euro
ETF908:Lyxor TecDAX
973346:Nordea Nordic
A0MX8G:OEkwrld Klima
974968:OekoVision
716460:SAP
A0Q9NX:Nordic Small Caps
A0KRKM:Brent
A1103F:MSCI MinVol
A1103G:MSCI WorldMom
